_id,facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,file_date
212,RESIDENTIAL CARE ELDERLY,342700014,A BRIGHT FUTURE,MOIA INC,"IOVITA, ALEXEI",(916) 390-9367,4136 SINGING TREE WAY,ANTELOPE,CA,95843,SACRAMENTO,59,6,LICENSED,12/9/2016,,5252025
1782,RESIDENTIAL CARE ELDERLY,342700679,A&C ELDERLY CARE,A&C SENIOR CARE #2 LLC,CLAUDIA ADINA STAN,(916) 223-5435,3319 SCOTLAND DRIVE,ANTELOPE,CA,95843,SACRAMENTO,59,6,LICENSED,11/21/2019,,5252025
741,RESIDENTIAL CARE ELDERLY,345920145,AEGIS SENIOR RESIDENCE,AEGIS NI LLC,"KONTSEMAL, ANASTASIIA",(888) 493-1459,3200 LA MADERA WAY,ANTELOPE,CA,95843,SACRAMENTO,59,6,LICENSED,6/6/2024,,5252025
743,RESIDENTIAL CARE ELDERLY,347004164,AFABLE CARE HOME,"AFABLE GROUP HOMES, INC",NICOLASA AFABLE,(916) 258-3737,4129 SINGING TREE WAY,ANTELOPE,CA,95843,SACRAMENTO,59,6,LICENSED,11/18/2008,,5252025
1493,RESIDENTIAL CARE ELDERLY,345920019,ARJAN CARE HOME,"BHANDAL, SARVEJEET","BHANDAL, SARVEJEET",(916) 494-1481,9320 PALMERSON DRIVE,ANTELOPE,CA,95843,SACRAMENTO,59,6,LICENSED,8/2/2023,,5252025
2151,RESIDENTIAL CARE ELDERLY,342700911,BLESSED HOMECARE,BLESSED HOMECARE LLC,"ARAMBULO,LERIZA",(209) 834-4040,8538 KRANS CT.,ANTELOPE,CA,95843,SACRAMENTO,59,6,LICENSED,1/20/2021,,5252025
3744,RESIDENTIAL CARE ELDERLY,347003969,DAVID FAMILY HOME,"DAVID, LIZA MONETTE","DAVID, LIZA",(916) 745-3626,4741 PISMO BEACH DRIVE,ANTELOPE,CA,95843,SACRAMENTO,59,6,LICENSED,2/13/2009,,5252025
4022,RESIDENTIAL CARE ELDERLY,345920311,"DRAGONFLY OASIS CAREHOME LLC., THE","DRAGONFLY OASIS CAREHOME LLC., THE",VALARTA VANESSA,(530) 852-1522,8320 ROCKBURY WAY,ANTELOPE,CA,95843,SACRAMENTO,59,6,PENDING,,,5252025
4453,RESIDENTIAL CARE ELDERLY,345920285,EVERGREEN ELDER CARE,EVERGREEN ELDER CARE LLC,"MUSLIM, ZAINAB",(916) 664-8205,5442 BRYCEWOOD WAY,ANTELOPE,CA,95843,SACRAMENTO,59,6,PENDING,,,5252025
4579,RESIDENTIAL CARE ELDERLY,345920138,FAMILY LIFE SENIOR CARE,TRANSILVANIA CONSULTING 700 LLC,"LUCA, DANIEL",(415) 619-8275,7662 COPPER COVE PLACE,ANTELOPE,CA,95843,SACRAMENTO,59,6,LICENSED,7/24/2024,,5252025
